exercise_id,name,primary_muscle,secondary_muscles,movement_pattern,equipment,unilateral,plane,category,level,default_rep_range,default_sets,default_rest_sec,avg_rep_time_sec,cues,contraindications,tags,variants_of,image_path
EXO-0001,Air squat,Quadriceps,Glutes;Core,squat,Poids du corps,0,sagittal,Polyarticulaire,Débutant;Intermédiaire,12-20,3,45,2.0,Gaine le tronc; talons au sol,Genou,CAF;cross;home,,
EXO-0002,Goblet squat,Quadriceps,Glutes;sanglage,squat,Kettlebell;Haltères,0,sagittal,Polyarticulaire,Débutant;Intermédiaire,10-15,4,75,2.5,Coudes sous le KB; buste droit,Genou,CAF;cross,,
EXO-0003,Back squat,Quadriceps,Glutes;sangle lombaire,squat,Barre,0,sagittal,Polyarticulaire,Intermédiaire;Avancé,5-10,4,120,3.0,Respire et gaine,Rachis lombaire,force;cross,,
EXO-0004,Front squat,Quadriceps,Core,squat,Barre,0,sagittal,Polyarticulaire,Intermédiaire,5-10,4,120,3.0,Coudes hauts; torse vertical,Poignet,force;cross,,
EXO-0005,Walking lunge,Quadriceps,Glutes;Core,lunge,Haltères;Kettlebell,1,sagittal,Polyarticulaire,Débutant;Intermédiaire,10-14,3,60,2.5,Grand pas; genou au sol,Genou,CAF;cross,,
EXO-0006,Reverse lunge,Glutes,Quadriceps;lombaires,lunge,Poids du corps;Haltères,1,sagittal,Polyarticulaire,Débutant;Intermédiaire,10-12,3,60,2.5,Pose doux le genou,Genou,CAF;core;home,,
EXO-0007,Hip thrust,Glutes,Ischios;Core,hinge,Barre;Haltères;Poids du corps,0,sagittal,Polyarticulaire,Débutant;Intermédiaire,8-15,4,75,2.5,Chin tuck; full lockout,Hanche,CAF;core,,
EXO-0008,Glute bridge,Glutes,Ischios,hinge,Poids du corps;Haltères,0,sagittal,Polyarticulaire,Débutant,12-20,3,45,2.0,Serre en haut,Hanche,CAF;core;home,,
EXO-0009,RDL (barre),Ischios,Glutes;lombaires,hinge,Barre,0,sagittal,Polyarticulaire,Intermédiaire,6-10,4,90,3.0,Hanches en arrière; neutre lombaire,Ischios;dos,force;cross,,
EXO-0010,RDL (haltères),Ischios,Glutes,hinge,Haltères,0,sagittal,Polyarticulaire,Débutant;Intermédiaire,8-12,4,90,2.8,Trajectoire proche tibias,Ischios,CAF;cross,,
EXO-0011,Dead bug,Core,,anti-extension,Poids du corps,0,transverse,Gainage,Débutant,20-40s,3,30,1.0,Bas du dos au sol, ,core;CAF;home,,
EXO-0012,Side plank,Obliques,Glutes,anti-rotation,Poids du corps,0,frontal,Gainage,Débutant;Intermédiaire,20-40s,3,30,1.0,Hanches hautes,Épaule,core;CAF;home,,
EXO-0013,Plank,Core,,anti-extension,Poids du corps,0,transverse,Gainage,Débutant,20-60s,3,30,1.0,Neutre tête-bassin,Épaule,core;home,,
EXO-0014,Push-up,Pectoraux,Triceps;Épaules,push,Poids du corps,0,transverse,Polyarticulaire,Débutant;Intermédiaire,8-20,4,60,2.0,Chest to floor; gainage,Épaule,cross;home,,
EXO-0015,DB bench press,Pectoraux,Triceps;Épaules,push,Haltères,0,transverse,Polyarticulaire,Intermédiaire,8-12,4,90,2.2,Scapulas serrées,Épaule,hypertrophie;cross,,
EXO-0016,Barbell bench press,Pectoraux,Triceps;Épaules,push,Barre,0,transverse,Polyarticulaire,Intermédiaire;Avancé,5-10,5,120,3.0,Pieds ancrés,Épaule,force,,
EXO-0017,Dips,Triceps,Pectoraux,push,Poids du corps;Barres parallèles,0,transverse,Polyarticulaire,Intermédiaire,6-12,4,90,2.5,Épaules basses,Épaule,cross,,
EXO-0018,Overhead press,Épaules,Triceps,push vertical,Barre;Haltères,0,frontal,Polyarticulaire,Intermédiaire,5-10,4,120,3.0,Fesses serrées; cage basse,Épaule,force;cross,,
EXO-0019,Pike push-up,Épaules,Triceps,push vertical,Poids du corps,0,frontal,Polyarticulaire,Intermédiaire,6-12,4,75,2.5,Tête entre bras,Épaule,cross;home,,
EXO-0020,Pull-up,Dos,Biceps;Épaules,pull,Barre,0,frontal,Polyarticulaire,Intermédiaire;Avancé,4-10,4,120,3.0,Poitrine vers la barre,Épaule,cross,,
EXO-0021,Inverted row,Dos,Biceps,pull,Barre;TRX/anneaux,0,transverse,Polyarticulaire,Débutant;Intermédiaire,8-15,4,75,2.0,Épaule basse; scapulas,Épaule,cross;home,,
EXO-0022,DB row,Dos,Biceps,pull,Haltères,1,frontal,Polyarticulaire,Débutant;Intermédiaire,8-12,4,75,2.3,Épaule vers hanche,Épaule,hypertrophie;home,,
EXO-0023,KB swing,Ischios,Glutes;Core,hinge,Kettlebell,0,sagittal,Plyo/Power,Intermédiaire,10-20,5,60,1.5,Hanche explosive,Lombaires,cross,,
EXO-0024,Box step-up,Quadriceps,Glutes,lunge,Box;Haltères,1,sagittal,Polyarticulaire,Débutant;Intermédiaire,8-12,3,60,2.0,Pousse par le talon,Genou,CAF;cross,,
EXO-0025,Box jump,Quadriceps,Glutes,Plyo,Box,0,sagittal,Plyo,Intermédiaire,6-10,4,90,1.2,Atterrissage silencieux,Genou,cross,,
EXO-0026,Burpee,Full body,Core,Plyo,Poids du corps,0,transverse,Conditionning,Débutant;Intermédiaire,8-15,5,45,1.2,Contrôle; gainage,Épaule,cross,,
EXO-0027,Assault bike cals,Cardio,,cardio,Machine,0,transverse,Cardio,Débutant;Intermédiaire,10-20,5,45,1.0,RPM constantes, ,cross,,
EXO-0028,Row calories,Cardio,,cardio,Rameur,0,transverse,Cardio,Débutant;Intermédiaire,10-20,5,45,1.0,Push-pull symétrique, ,hyrox;cross,,
EXO-0029,Ski-erg calories,Cardio,,cardio,Ski,0,transverse,Cardio,Débutant;Intermédiaire,10-20,5,45,1.0,Trajet vertical, ,hyrox;cross,,
EXO-0030,Sled push,Glutes,Quadriceps,carry,Sled,0,transverse,Conditionning,Intermédiaire,15-30m,5,60,1.0,Dos neutre; poussé basse,Genou,hyrox;cross,,
EXO-0031,Sit-up,Abdominaux,,flexion,Poids du corps,0,sagittal,Gainage,Débutant;Intermédiaire,12-20,3,30,1.2,Contrôle, ,CAF;core;home,,
EXO-0032,Hollow hold,Core,,anti-extension,Poids du corps,0,transverse,Gainage,Intermédiaire,20-40s,3,30,1.0,Creuse le ventre, ,core;home,,
EXO-0033,Side plank reach,Obliques,Glutes,anti-rotation,Poids du corps,0,frontal,Gainage,Intermédiaire,8-12,3,30,1.5,Contrôle rotation,Épaule,core;home,,
EXO-0034,Good morning,Ischios,Glutes,hinge,Barre,0,sagittal,Polyarticulaire,Intermédiaire,8-12,4,90,2.5,Charnière pure,Lombaires,force,,
EXO-0035,Leg extension,Quadriceps,,isolation,Machine,0,sagittal,Isolation,Débutant;Intermédiaire,10-15,4,60,2.0,Full lockout,Genou,CAF,,
EXO-0036,Leg curl,Ischios,,isolation,Machine,0,sagittal,Isolation,Débutant;Intermédiaire,10-15,4,60,2.0,Contrôle excentrique,Ischios,CAF,,
EXO-0037,Seated row, Dos,Biceps,pull,Machine,0,transverse,Polyarticulaire,Débutant;Intermédiaire,8-12,4,75,2.0,Épaule basse,Épaule,hypertrophie,,
EXO-0038,Lat pulldown,Dos,Biceps,pull,Machine,0,frontal,Polyarticulaire,Débutant;Intermédiaire,8-12,4,75,2.0,Tire coudes vers côtes,Épaule,hypertrophie,,
EXO-0039,Walking plank,Core,Épaules,anti-extension,Poids du corps,0,transverse,Gainage,Débutant;Intermédiaire,30-60s,3,30,1.0,Pas courts et gainés,Épaule,core;cross,,
EXO-0040,Wall sit,Quadriceps,Core,isométrie,Poids du corps,0,sagittal,Isométrique,Débutant;Intermédiaire,30-60s,3,45,1.0,Cuisses // au sol,Genou,CAF;home,,
